iter	Passed	Remaining
0	0	67
1	1	62
2	1	59
3	2	55
4	2	54
5	3	54
6	4	54
7	4	53
8	5	52
9	5	51
10	6	51
11	6	50
12	7	49
13	8	49
14	8	48
15	9	48
16	9	47
17	10	46
18	10	46
19	11	45
20	11	44
21	12	44
22	13	44
23	13	43
24	14	42
25	14	42
26	15	41
27	16	41
28	16	40
29	17	40
30	17	39
31	18	39
32	18	38
33	19	37
34	20	37
35	20	36
36	21	36
37	21	35
38	22	35
39	22	34
40	23	33
41	23	32
42	24	32
43	24	31
44	25	31
45	26	30
46	26	30
47	27	29
48	27	29
49	28	28
50	29	27
51	29	27
52	30	26
53	30	26
54	31	25
55	32	25
56	33	25
57	34	24
58	35	24
59	36	24
60	36	23
61	37	23
62	39	23
63	40	22
64	41	22
65	41	21
66	42	21
67	43	20
68	44	19
69	45	19
70	46	18
71	47	18
72	48	17
73	49	17
74	51	17
75	52	16
76	53	15
77	54	15
78	54	14
79	55	13
80	56	13
81	57	12
82	58	11
83	59	11
84	60	10
85	60	9
86	61	9
87	62	8
88	62	7
89	63	7
90	64	6
91	64	5
92	65	4
93	65	4
94	66	3
95	66	2
96	67	2
97	68	1
98	69	0
99	69	0
